Dataset,CAV Receiver,CAV Sender,Tau,User_Type,Trust History Required,Number of Trust Frames Required,Exp,Trust Monitor
Orig_2,cav1,cav4,0.12807881773399016,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav2,cav1,0.05665024630541872,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav2,cav3,0.09113300492610837,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav2,cav4,-0.11576354679802955,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav3,cav1,-0.04926108374384237,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav3,cav2,0.14285714285714285,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav3,cav4,0.07142857142857142,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav4,cav1,0.10591133004926108,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav4,cav2,0.2832512315270936,User_0.6,False,0.0,Orig,FALSE
Orig_2,cav4,cav3,0.2019704433497537,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav1,cav2,-0.015873015873015872,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav1,cav3,0.031746031746031744,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav1,cav4,-0.07671957671957672,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav2,cav1,-0.018518518518518517,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav2,cav3,0.13227513227513227,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav2,cav4,-0.1349206349206349,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav3,cav1,0.16666666666666666,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav3,cav2,0.06084656084656084,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav3,cav4,-0.23544973544973544,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav4,cav1,-0.015873015873015872,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav4,cav2,0.10846560846560846,User_0.6,False,0.0,Orig,FALSE
Orig_3,cav4,cav3,0.037037037037037035,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav1,cav2,0.08735632183908046,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav1,cav3,-0.07816091954022988,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav1,cav4,0.11494252873563218,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav2,cav1,0.07586206896551724,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav2,cav3,0.022988505747126436,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav2,cav4,-0.022988505747126436,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav3,cav1,0.06436781609195402,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav3,cav2,-0.0896551724137931,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav3,cav4,0.034482758620689655,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav4,cav1,0.1724137931034483,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav4,cav2,0.006896551724137931,User_0.6,False,0.0,Orig,FALSE
Orig_4,cav4,cav3,0.1310344827586207,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav1,cav2,0.06153846153846154,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav1,cav3,0.0009324009324009324,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav1,cav4,0.05874125874125874,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav2,cav1,-0.014452214452214453,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav2,cav3,0.009324009324009324,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav2,cav4,-0.031235431235431235,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav3,cav1,0.08484848484848485,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav3,cav2,0.11794871794871795,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav3,cav4,0.04895104895104895,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav4,cav1,0.11421911421911422,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav4,cav2,0.013986013986013986,User_0.6,False,0.0,Orig,FALSE
Orig_5,cav4,cav3,0.05174825174825175,User_0.6,False,0.0,Orig,FALSE
