CAV,Other_CAV,Image_Index,Trust_Score
cav1,cav2,9.5,0.5825463440551353
cav1,cav3,9.5,0.5967385119160655
cav1,cav4,9.5,0.5806954718843934
cav2,cav1,9.5,0.5937033746443832
cav2,cav3,9.5,0.600923618901591
cav2,cav4,9.5,0.5994435314447405
cav3,cav1,9.5,0.5876605697950228
cav3,cav2,9.5,0.5969100182194836
cav3,cav4,9.5,0.5862729948395634
cav4,cav1,9.5,0.5657647061291073
cav4,cav2,9.5,0.5960651643464543
cav4,cav3,9.5,0.5964494695406585
